Mile,Name,Info
0.3,Start of Towpath,Just south of the Pennsylvania Ave and Rock Creek Pkwy intersection. Continue downstream via the Rock Creek Bicycle Trail.
0.5,Georgetown Visitor Center,"202.653.5190: National Park Visitor Center. Canal boat rides available. 1057 Thomas Jefferson St, NW, Washington, DC 20007"
1.6,Georgetown University(map),Access via tunnel underneath the Canal. Near intersection of Canal and Foxhall Roads.
3.1,Fletcher's Cove,202.244.0461: Snack Bar. Single-speed bike and boat rentals. Nice area for a picnic. Parking available.
4,Chain Bridge (map),Last bicycle river crossing to Virginia until Milepost 34.5
5,Lock #5,Modern footbridge over parkway to Ridge Drive near the corner 61st Street.
5.4,Lock #6,Parking area along Clara Barton Parkway
7,Lock #7,Parking area along Clara Barton Parkway
8.4,Cabin John (map),Cabin John Shopping Center (at MaCarthur and 79th St) located about 0.5 mile away from river (Deli / Store). Cross lock and follow wide path to left. Becomes paved Riverside Ave. Follow thru tunnel and continue 79th St.
8.8,Lock #10,Parking area along Clara Barton Parkway
10.8,Carderock Recreational Area (map),"Picnic, rest rooms, water. Very easy access from I-495."
11.5,Footbridge,"Water on opposite side of canal. Access to MaCarthur, 0.1 mile west of Brickyard Rd. Loading only - No Parking."
12.4,Old Angler's Inn (map),Popular free parking area across from Old Angler's Inn on MaCarthur Blvd. VERY Crowded. Access to optional Berma Rd route.
14.3,Great Falls Tavern Visitor Center,"301.767.3714: National Park Visitor Center. Operational Lock #20 located here. Paid parking available. 11710 MacArthur Blvd, Potomac, MD 20854"
16.6,Swain's Lock #21,Five Campsites - nearby vehicle access
19.7,Pennyfield Lock #22,Parking Lot - Access to River Road at Esworthy Rd
22.1,Violettes Lock #23,"This lock also marks the end of the watered canal basin. With a few exceptions, the canal basin is mostly abandoned upstream from this location."
22.8,Rileys Lock #24,Parking and access to River Road.
27.2,Mckee-Beshers Wildlife Area,"Remote access via Sycamore Landing Rd, 0.75 miles from River Rd. Public hunting area."
30.8,Edward Ferry Boat Ramp,"Access to Poolesville, MD"
35.5,Whites Ferry (map),"301-349-5200: Bike/auto access to Leesburg, VA via Ferry (Fee). Soda, snack food available."
39.5,Dickerson Conservation Park (map),Access from Martinsburg Rd.
42.1,Monocacy Aqueduct,"This impressive structure is the largest aqueduct on the towpath. Originally completed in 1833, was restored in 2005."
44.6,Nolands Ferry,Boat Ramp and Picnic Area. Access from New Design Road.
